attempt,serialization,deserialization,sending,receiving
1,2.592838764190674,10.727665901184082,13.589571475982666,5.767833471298218
2,2.589155912399292,10.598046779632568,13.609680891036987,5.9885454177856445
3,2.6048696041107178,10.930885076522827,13.76521635055542,5.8803839683532715
4,2.6290981769561768,10.82633638381958,13.75768256187439,6.3041393756866455
5,2.6615982055664062,10.633849859237671,13.57912540435791,5.786493301391602
6,2.569978952407837,10.60899567604065,13.674785614013672,5.960426092147827
7,2.5587551593780518,10.614407777786255,13.663293838500977,5.959805488586426
8,2.5788140296936035,10.463965654373169,13.564295053482056,5.806868553161621
9,2.5400924682617188,10.644543647766113,13.519393682479858,5.876094102859497
10,2.633178472518921,10.82469892501831,13.87771463394165,5.905398607254028
